Cycle	11350 mV	11300 mV	11250 mV	11200 mV	11150 mV	11100 mV	11050 mV	11000 mV	10950 mV	10900 mV	10850 mV	10800 mV	DCHG Capacity	CHG Capacity
127	600	1275	1995	2745	3495	4155	4830	5355	5775	6480	6990	7155	1983.854126	2005.316650	
128	615	1275	1995	2760	3495	4170	4830	5355	5775	6510	7005	7170	1987.829224	1998.262451	
129	600	1260	1980	2745	3495	4155	4830	5355	5775	6480	6990	7170	1989.416626	2008.391724	
130	615	1275	1980	2745	3495	4155	4830	5355	5775	6480	6990	7155	1987.837524	1996.141724	
131	615	1275	1995	2760	3495	4170	4830	5355	5790	6495	7005	7170	1989.754150	2000.208374	
132	615	1275	1995	2775	3510	4155	4830	5355	5775	6480	7005	7170	1989.750000	1998.962524	
133	615	1275	1995	2745	3495	4155	4830	5340	5775	6465	6990	7155	1987.841675	1999.791626	
134	615	1260	1980	2760	3480	4140	4830	5340	5775	6465	6990	7170	1988.487549	2000.545776	
135	600	1275	1965	2730	3480	4140	4815	5325	5760	6465	6975	7155	1986.250000	1993.766724	
136	600	1260	1965	2730	3480	4140	4815	5340	5760	6435	6975	7155	1986.179199	1993.329224	
137	600	1260	1980	2730	3480	4140	4815	5340	5760	6450	6990	7155	1986.574951	1991.070801	
138	615	1275	1995	2745	3495	4155	4815	5340	5760	6465	6990	7155	1986.470825	1992.875000	
139	600	1260	1980	2730	3480	4140	4815	5340	5760	6450	6975	7155	1986.458374	1988.195801	
140	600	1260	1980	2730	3480	4140	4800	5340	5760	6435	6975	7155	1986.533325	1996.283325	
141	600	1260	1965	2730	3465	4125	4800	5325	5745	6435	6975	7140	1986.283325	1991.633301	
142	600	1275	1980	2745	3480	4140	4815	5340	5760	6435	6975	7155	1984.854126	1987.466675	
143	615	1275	1980	2745	3480	4140	4815	5340	5760	6435	6975	7155	1984.745850	1994.733276	
144	615	1275	1980	2745	3480	4140	4815	5340	5760	6435	6975	7155	1984.683350	1991.016724	
145	615	1260	1980	2730	3465	4125	4800	5325	5745	6420	6975	7155	1983.329224	1987.229126	
146	600	1260	1965	2730	3465	4125	4800	5325	5745	6420	6975	7140	1983.520874	1985.083374	
147	615	1275	1980	2730	3465	4125	4800	5325	5745	6420	6975	7155	1966.058350	1972.345825	
148	600	1260	1980	2730	3480	4125	4800	5325	5745	6420	6975	7155	1966.054199	1972.129150	
149	615	1260	1980	2730	3480	4125	4800	5325	5745	6420	6975	7155	1961.791626	1970.875000	
150	615	1275	1965	2730	3465	4125	4785	5325	5745	6420	6960	7140	1966.291626	1975.520874	
151	615	1260	1980	2745	3465	4125	4800	5325	5745	6405	6975	7140	1962.429199	1973.562500	
152	600	1260	1980	2730	3465	4110	4785	5310	5730	6390	6960	7140	1964.379150	1965.454224	
153	600	1260	1980	2730	3465	4110	4785	5325	5745	6405	6960	7140	1966.437500	1968.074951	
154	600	1260	1965	2715	3465	4110	4785	5310	5730	6390	6945	7140	1962.691650	1974.845825	
155	615	1275	1965	2715	3465	4125	4785	5325	5745	6390	6960	7140	1964.620850	1968.462524	
156	615	1275	1980	2715	3465	4110	4785	5310	5745	6390	6960	7140	1962.574951	1970.712524	
157	600	1260	1980	2730	3465	4125	4785	5310	5745	6390	6960	7140	1962.949951	1974.079224	
158	615	1260	1965	2730	3465	4125	4785	5310	5730	6390	6960	7140	1963.050049	1974.695801	
159	615	1260	1965	2715	3465	4110	4770	5310	5730	6360	6945	7125	1962.795776	1972.675049	
160	600	1260	1965	2715	3465	4110	4770	5310	5730	6375	6960	7140	1965.370850	1972.449951	
161	615	1260	1965	2730	3465	4110	4770	5310	5730	6375	6945	7125	1963.108276	1975.320801	
162	600	1275	1965	2715	3450	4110	4770	5295	5715	6375	6945	7125	1961.029175	1972.333374	
163	615	1260	1965	2715	3450	4110	4770	5310	5730	6360	6945	7125	1960.991699	1970.245850	
164	600	1260	1965	2715	3450	4095	4770	5310	5730	6360	6945	7125	1959.375000	1964.729126	
165	600	1260	1950	2700	3435	4095	4755	5295	5715	6360	6930	7110	1959.391724	1966.175049	
166	600	1260	1965	2715	3450	4095	4770	5295	5730	6360	6945	7125	1959.683350	1962.766724	
167	600	1245	1950	2715	3450	4095	4770	5295	5715	6345	6930	7110	1940.604126	1953.133301	
168	615	1260	1965	2730	3450	4110	4770	5310	5730	6360	6945	7125	1938.708374	1946.495850	
169	600	1260	1965	2700	3435	4095	4755	5295	5715	6345	6930	7125	1940.566650	1944.129150	
170	600	1245	1950	2700	3435	4095	4755	5295	5715	6345	6930	7110	1936.979126	1947.929199	
171	600	1260	1980	2715	3450	4095	4770	5295	5730	6345	6930	7125	1932.925049	1947.166626	
172	600	1245	1965	2685	3435	4080	4755	5280	5700	6345	6930	7110	1935.787476	1937.991699	
173	600	1260	1965	2700	3435	4095	4770	5295	5715	6345	6945	7125	1939.562500	1950.070801	
174	600	1260	1965	2715	3435	4080	4755	5295	5715	6330	6930	7125	1938.991699	1953.229126	
175	600	1275	1980	2715	3450	4095	4770	5295	5730	6330	6945	7125	1937.020874	1946.591675	
176	615	1275	1965	2700	3450	4095	4755	5295	5715	6330	6930	7125	1935.179199	1941.591675	
177	600	1260	1950	2700	3435	4080	4740	5280	5700	6330	6930	7125	1937.645874	1948.387451	
178	600	1260	1965	2700	3435	4095	4755	5295	5715	6315	6930	7125	1937.858276	1942.145874	
179	600	1260	1965	2715	3435	4095	4755	5295	5715	6330	6930	7125	1936.516724	1944.945801	
180	600	1260	1965	2700	3435	4095	4755	5295	5715	6315	6930	7110	1937.695801	1946.895874	
181	615	1260	1965	2715	3435	4095	4755	5280	5715	6315	6930	7125	1936.012451	1945.245850	
182	600	1245	1950	2700	3420	4080	4740	5280	5700	6300	6915	7110	1935.633301	1942.304199	
183	600	1260	1965	2700	3435	4080	4740	5280	5700	6300	6915	7110	1936.387451	1937.758301	
184	615	1260	1965	2700	3435	4080	4740	5295	5700	6300	6915	7110	1935.824951	1951.587524	
185	585	1245	1950	2685	3420	4065	4725	5265	5685	6285	6900	7095	1930.191650	1943.433350	
186	600	1260	1965	2685	3420	4080	4740	5280	5700	6285	6915	7110	1938.387451	1944.675049	
187	585	1245	1950	2685	3420	4065	4725	5265	5700	6285	6900	7095	1932.270874	1949.445801	
188	600	1245	1950	2685	3405	4065	4725	5265	5685	6285	6915	7110	1938.462524	1944.591675	
189	585	1245	1950	2685	3405	4065	4725	5265	5685	6285	6900	7095	1934.283325	1950.229126	
190	600	1245	1950	2685	3420	4065	4725	5265	5685	6270	6900	7095	1929.941650	1944.816650	
191	585	1230	1935	2685	3405	4065	4725	5250	5685	6270	6885	7080	1928.283325	1941.991699	
192	600	1245	1950	2685	3420	4065	4725	5265	5685	6270	6900	7095	1932.733276	1944.262451	
193	600	1245	1950	2685	3420	4065	4725	5265	5685	6270	6900	7095	1932.704224	1948.820801	
194	600	1260	1950	2685	3420	4080	4725	5265	5700	6270	6900	7095	1932.595825	1945.204224	
195	585	1245	1935	2670	3405	4050	4710	5265	5670	6255	6900	7095	1932.920776	1940.862549	
196	600	1245	1935	2685	3405	4050	4725	5265	5670	6255	6885	7095	1932.949951	1943.766724	
197	585	1245	1935	2685	3405	4050	4725	5250	5670	6255	6885	7095	1932.333374	1942.824951	
198	585	1230	1920	2670	3390	4050	4710	5250	5670	6240	6885	7080	1930.733276	1932.941650	
199	585	1245	1935	2670	3405	4050	4725	5265	5685	6255	6900	7095	1931.058350	1940.058350	
